Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
dodjiesLearn,0.897,3584.854,6.566,10500,-0.124
dodjiesLearn,0.864,3592.894,6.560,10264,-0.124
dodjiesLearn,0.869,3600.479,6.106,10252,-0.124
dodjiesLearn,1.081,3609.809,7.517,10282,-0.124
dodjiesLearn,1.012,3619.103,7.602,10284,-0.124
dodjiesLearn,0.987,3628.758,7.633,10308,-0.124
dodjiesLearn,1.020,3637.514,7.076,10324,-0.124
dodjiesLearn,1.134,3647.146,7.415,10282,-0.124
dodjiesLearn,0.983,3655.595,6.789,10292,-0.124
dodjiesLearn,0.918,3664.070,6.909,10590,-0.124
dodjiesLearn,0.889,3672.214,6.606,10290,-0.124
dodjiesLearn,0.895,3680.426,6.642,10316,-0.124
dodjiesLearn,0.876,3688.524,6.599,10300,-0.124
dodjiesLearn,0.871,3696.763,6.713,10314,-0.124
dodjiesLearn,0.877,3704.614,6.330,10296,-0.124
dodjiesLearn,0.890,3712.920,6.796,10264,-0.124
dodjiesLearn,0.915,3721.131,6.634,10284,-0.124
dodjiesLearn,0.903,3729.374,6.686,10274,-0.124
dodjiesLearn,0.863,3737.491,6.651,10256,-0.124
dodjiesLearn,0.868,3745.625,6.609,10352,-0.124
dodjiesLearn,0.898,3753.572,6.411,10246,-0.124
dodjiesLearn,0.930,3762.012,6.880,10332,-0.124
dodjiesLearn,0.967,3770.233,6.630,10248,-0.124
dodjiesLearn,0.873,3778.537,6.818,10286,-0.124
dodjiesLearn,0.890,3786.712,6.626,10304,-0.124
dodjiesLearn,0.905,3794.845,6.569,10322,-0.124
dodjiesLearn,0.917,3802.825,6.454,10276,-0.124
dodjiesLearn,0.887,3811.015,6.655,10368,-0.124
dodjiesLearn,0.938,3819.103,6.494,10272,-0.124
dodjiesLearn,0.861,3827.420,6.828,10312,-0.124
dodjiesLearn,0.863,3835.281,6.377,10254,-0.123
dodjiesLearn,0.950,3843.375,6.508,10346,-0.123
dodjiesLearn,0.887,3851.467,6.591,10302,-0.124
dodjiesLearn,0.866,3859.374,6.419,10292,-0.123
